# 2024.2 laboral (comprobado)
pregunta,a,b,c,d,correcta,materia
"En el proceso monitorio laboral si se formula oposición solo en cuanto a parte de la cantidad reclamada, ¿cuál de las siguientes respuestas es la correcta?","El juzgado despachará ejecución por la totalidad de la cantidad.","Se dará traslado a la parte actora, que dispondrá de cuatro días para manifestar lo que a su derecho convenga sobre la oposición. Caso contrario, se le tendrá por desistido.","El demandante podrá solicitar del juzgado que se dicte auto acogiendo la reclamación en cuanto a las cantidades reconocidas o no impugnadas. Este auto servirá de título de ejecución sin necesidad de esperar a la resolución que recaiga respecto del resto de la cantidad reclamada.","El demandante podrá solicitar del juzgado que se dicte auto acogiendo la reclamación en cuanto a las cantidades reconocidas o no impugnadas. Este auto servirá de título de ejecución cuando recaiga resolución respecto de las cantidades controvertidas.","c","Laboral"
"Cuando en un proceso monitorio laboral el requerimiento de pago al empresario no ha podido realizarse en su persona, ¿qué trámite ha de seguirse por el juzgado?","Se procederá a requerir por edictos y, trascurrido el plazo conferido en el requerimiento sin oposición, se dictará decreto dando por terminado el proceso monitorio y dando traslado al demandante para que inste el despacho de ejecución.","Se dictará resolución convocando vista que seguirá la tramitación del procedimiento ordinario.","Se dictará resolución convocando vista siguiendo la tramitación del procedimiento ordinario, previo traslado al demandante por tres días para que manifieste lo que a su derecho convenga.","Se dictará decreto de manera inmediata dando por terminado el procedimiento monitorio y archivando el mismo.","b","Laboral"
"Manuel, empleado de la mercantil XXX S.L., lleva cinco meses sin percibir su salario alegando la empresa dificultades económicas. Acude a un profesional de la Abogacía que le aconseja presentar demanda de extinción de la relación laboral por impago de salarios y reclamación de las cantidades adeudadas. Finalmente, aquél solo presenta demanda reclamando los salarios adeudados. Indique la respuesta correcta.","El procedimiento será urgente y preferente dada la causa de impago de los salarios.","El procedimiento es ordinario sin preferencia ni urgencia frente al resto de los que se tramiten en el juzgado.","El procedimiento es ordinario, pero goza de preferencia frente a los despidos dado que el impago es causa de extinción de la relación laboral.","El procedimiento es ordinario, pero goza de preferencia frente a los despidos en que la empresa no ha tramitado la baja en la Tesorería General de la Seguridad Social a los que se refiere el artículo 103 de la Ley reguladora de la jurisdicción social.","b","Laboral"
"El Juzgado de lo Social de Elche condena a Lorena a suspensión de empleo y sueldo de veinte días por haber agredido a un compañero de trabajo en horario laboral, falta que está contemplada como grave en el convenio colectivo de aplicación a la empresa. ¿Puede la trabajadora recurrir esta sentencia?","No, porque en los procesos de sanción no cabe recurso.","Sí, porque se trata de impugnar una sanción por falta grave que ha sido confirmada judicialmente.","No, porque se trata de impugnar una sanción por falta grave que ha sido confirmada judicialmente.","Sí, porque en los procesos de sanción por falta grave y muy grave siempre cabe recurso.","c","Laboral"
"En el proceso laboral, ¿en qué supuestos puede el órgano judicial pedir a las partes la aportación anticipada al acto de la vista de la prueba documental de que intenten valerse?","Tras la aprobación del Real Decreto-ley 6/2023, de 19 de diciembre, por el que se aprueban medidas urgentes para la ejecución del Plan de Recuperación, Transformación y Resiliencia en materia de servicio público de justicia, función pública, régimen local y mecenazgo, las partes deben presentar todos los documentos con antelación al acto de la vista en formato electrónico para su incorporación al expediente judicial.","El órgano judicial puede pedir la aportación anticipada a las partes de la prueba documental, en cualquier caso.","El titular del órgano judicial podrá pedir la aportación anticipada cuando, por su volumen o complejidad, resulte conveniente su examen previo al acto de la vista.","El titular del órgano judicial podrá pedir la aportación anticipada cuando, por su volumen o complejidad, resulte conveniente su examen previo al acto de la vista, pero solo si media previa petición de parte.","c","Laboral"
"En el orden jurisdiccional social, ¿están las personas trabajadoras obligadas a relacionarse electrónicamente con la Administración de Justicia?","Sí. Tras la aprobación del Real Decreto-ley 6/2023, de 19 de diciembre, que en su Libro primero introduce medidas de eficiencia digital y procesal del servicio público de justicia, en todo caso, la persona trabajadora en su demanda deberá aportar una dirección de correo electrónico o cualquier otro medio idóneo que permita su comunicación telemática.","No. La persona trabajadora no está obligada a relacionarse electrónicamente con la Administración de Justicia, salvo que en el contrato de trabajo hubiera aceptado dicha obligación.","Sí. Tras la aprobación del Real Decreto-ley 6/2023, de 19 de diciembre, que en su Libro primero introduce medidas de eficiencia digital y procesal del servicio público de justicia, la persona trabajadora está obligada a relacionarse electrónicamente con el juzgado, salvo que en el contrato de trabajo ambas partes hubieran aceptado la dispensa de esta obligación.","No. La persona trabajadora no está obligada a relacionarse electrónicamente con la Administración de Justicia, sin que quepa la posibilidad de obligarle en el contrato de trabajo.","d","Laboral"
"Durante la celebración de una vista por despido la abogada de la empresa en su turno de intervención plantea la suspensión y nuevo señalamiento a fin de acumular la demanda que por reclamación de salarios se sigue entre las mismas partes en otro juzgado. Indique la respuesta correcta.","Si la parte demandante no se opone el juez o jueza deberá acordar la suspensión a tal fin.","Si la parte demandante se opone el juez o jueza puede acordar la suspensión a tal fin.","No puede en este caso acordarse la acumulación ya que no se ha formulado antes de los actos de conciliación y juicio.","Es preceptiva la suspensión para la acumulación ya que ambas demandas deben tramitarse conjuntamente.","c","Laboral"
"En los autos que bajo el nº 000 se siguen por despido en el Juzgado de lo Social nº 1 de Madrid la empresa demandada no acudió al acto de conciliación ante el servicio administrativo correspondiente pese a estar debidamente citada. En la vista el abogado de la empresa no ha ofrecido justificación. La jueza dicta sentencia estimando la demanda e imponiendo las costas, incluidos honorarios, a la indicada mercantil. ¿Podría, además, imponerle una sanción pecuniaria?","No. En los casos de incomparecencia a los actos de conciliación sin causa justificada se aplicarán exclusivamente las medidas del artículo 66.3 de la Ley reguladora de la Jurisdicción Social, que se refiere precisamente a las costas del proceso.","Sí. Además de las costas, la jueza podría imponer a la empresa una sanción pecuniaria, pero solo en el caso de que la parte demandante lo hubiera solicitado en su demanda o en el acto de la vista.","Sí. Además de las costas, la jueza podría imponer a la empresa una sanción pecuniaria, previa solicitud de parte o de oficio.","La jueza está obligada a imponer además una sanción pecuniaria, dentro de los límites que se fijan en el apartado 4 del artículo 75, siempre que la parte demandante lo haya solicitado en su demanda o en la vista por incomparecencia injustificada de la empresa.","c","Laboral"
"La mercantil AAA S.L. cuenta con 2 centros de trabajo en la provincia de Tarragona: uno de ellos con 121 trabajadores y el otro con 53. ¿A qué órgano le corresponderá la representación de éstos para participar en la empresa y defender sus intereses?","A los delegados de personal en número de 3 en cada uno de los centros de trabajo.","En cada centro de trabajo se deberá constituir un comité de empresa propio.","Como son 2 centros de trabajo en la misma provincia se constituirá un comité de empresa conjunto.","En el centro de trabajo con 121 empleados se constituirá un comité de empresa y en el que cuenta con 53, la representación corresponderá a los delegados de personal en número de 3.","b","Laboral"
"En relación con la figura del pleito testigo que ha sido introducida en la Ley reguladora de la Jurisdicción Social por el Real Decreto-ley 6/2023, de 19 de diciembre, por el que se aprueban medidas urgentes para la ejecución del Plan de Recuperación, Transformación y Resiliencia en materia de servicio público de justicia, función pública, régimen local y mecenazgo, indique la respuesta correcta.","La sentencia dictada en el pleito testigo será recurrible en suplicación solo si procede por razón de la cuantía o de la materia.","La preferencia en la tramitación de uno o varios procesos respecto al resto se realiza por el órgano jurisdiccional teniendo en cuenta la materia sobre la que versen y el orden de presentación de las respectivas demandas.","Una vez firme la sentencia dictada, el juez, la jueza o tribunal dispone de un plazo de quince días para acordar la extensión de efectos a aquellos que quedaron suspendidos.","Es exigible la audiencia a las partes con carácter previo a la tramitación del pleito testigo.","d","Laboral"
