pregunta,a,b,c,d,correcta,tipo
"1 – Matías, Abogado colegiado ejerciente, ha sido condenado en sentencia firme a la pena de prisión de seis meses y un día de inhabilitación especial para el derecho del sufragio pasivo, por haber estafado a sus clientes la cantidad de 12.000 €. ¿Pierde necesariamente Matías la condición de colegiado como consecuencia de dicha condena penal?","Sí, en todo caso.","No, dado que solo las condenas por delitos contra la Administración de Justicia producen la pérdida automática de la condición de colegiado.","Sí, pues toda condena penal firme lleva aparejada la pérdida de la condición de colegiado.","No, en todo caso.",d,COMUN
"2 – Juan, español, mayor de edad, residente en Lucena y en posesión de título oficial que habilita para el ejercicio de la profesión de la Abogacía, pretende colegiarse como no ejerciente en el Colegio de Abogacía de dicha localidad. Sin embargo, actualmente se encuentra incurso en causa de incapacidad que impide el cumplimiento de la misión de defensa y asesoramiento que a los profesionales de la Abogacía se encomienda. ¿Podrá Juan colegiarse en dichas circunstancias?","Sí, previa superación de una prueba de aptitud específicamente diseñada por el Colegio de Abogacía del lugar para esos casos.","No, al constituir causa de incapacidad para el ejercicio de la Abogacía prevista como tal en el Estatuto General de la Abogacía.","Sí.","No, salvo dispensa otorgada por el Consejo General de la Abogacía Española.",b,COMUN
"3 – Amaya, Abogada en ejercicio, especializada en responsabilidad civil derivada de vehículos a motor, está diseñando una estrategia publicitaria para atraer nuevos clientes a su despacho. Para ello, ha publicado anuncios en los que invita a sus futuros clientes a darse golpecitos con sus coches asegurando que debido a su cualificación y profesionalidad ello no será obstáculo para obtener el cobro de la pertinente indemnización. ¿Son conformes estos anuncios con la normativa de publicidad en el ámbito de la Abogacía?","Sí, siempre que respete el plazo de cuarenta y cinco días posteriores al siniestro para dirigirse a los intervinientes en la colisión.","No, en todo caso.","Sí, pues para ello no ha revelado de forma directa o indirecta hechos, datos o situaciones amparadas por el secreto profesional.","Sí, siempre que por el diseño del anuncio se desprenda que el texto hace hincapié en los aspectos relativos a la cualificación y profesionalidad.",b,COMUN
"4 – El Juzgado de Instrucción nº 1 de Guadalajara ha acordado la entrada y registro en el despacho profesional de Abogados QQQQ debido a indicios de un posible delito de blanqueo de capitales. El socio principal del despacho ha pedido al Decano de su Colegio de Abogacía que asista a dicha intervención para garantizar la proporcionalidad de la misma. Sin embargo, por problemas de agenda, el Decano declina la petición. ¿Es necesaria en este caso la asistencia del Decano?","Sí, dado que dicha intervención es obligatoria y personalísima, sin posibilidad de denegación o sustitución.","No, siempre que designe a quien a tal fin le sustituya.","Sí, pues su presencia es siempre preceptiva en los casos de entradas y registros que afecten a cualquiera de sus colegiados en el ejercicio de la Abogacía.","No, pues quien ha de estar necesariamente en las entradas y registros ha de ser el interesado, o un familiar suyo mayor de edad, o dos testigos vecinos del mismo pueblo.",b,COMUN
"5 – Ángela, quien está en posesión de título oficial habilitante para la profesión de la Abogacía, decide publicitar servicios profesionales de asesoramiento jurídico utilizando la denominación Abogada. ¿Puede Ángela emplear dicha denominación?","Sí, siempre que además se haya incorporado a un Colegio de la Abogacía como no ejerciente.","Sí, siempre que además se haya incorporado a un Colegio de la Abogacía como ejerciente.","No, en todo caso.","Sí, en todo caso.",b,COMUN
"6 – Xoel, Abogado ejerciente, incorporado al Colegio de la Abogacía de Santiago de Compostela, acude a la ciudad de Valencia para ejercer la defensa en juicio de uno de sus clientes ante diversos juzgados de dicha localidad. ¿Puede Xoel actuar profesionalmente en lugar distinto al del Colegio en el que se haya incorporado?","Sí, siempre que haya obtenido habilitación del Colegio de la Abogacía de Valencia.","Sí, siempre que haya obtenido autorización del Colegio de la Abogacía de Santiago de Compostela.","Sí.","No, salvo convenio entre ambos Colegios de la Abogacía.",c,COMUN
"7 – Rosa, Abogada en ejercicio, ha grabado una conversación telefónica con uno de sus clientes en relación a cuestiones relativas al pleito en el que ella le representa, para así poder protegerse en caso de que la conclusión del asunto no fuera del agrado de dicho cliente. ¿Es correcto deontológicamente el proceder de Rosa?","Sí, siempre que no divulgue a terceros el contenido de dicha grabación.","No, pues debía haberlo advertido antes a su cliente.","Sí, siempre que limite su uso a defenderse de las represalias de su cliente por la llevanza del asunto.","No, dado que se trataba de una conversación telefónica.",b,COMUN
"8 – Marc, Abogado en ejercicio, que representó hace quince años a Laura en un famoso asunto de divorcio, ha vendido a un periódico la documentación de aquel pleito aprovechando la renovada importancia mediática del asunto al haberse producido la muerte del exmarido de su antigua clienta. ¿Es la actuación de Marc contraria a la obligación de guardar secreto profesional?","No, al haber transcurrido más de diez años desde que cesó en la prestación de servicios a su clienta.","No, debido al interés mediático objetivo de la información divulgada.","Sí, salvo autorización expresa de su antigua clienta.","Sí, al no haber transcurrido veinte años desde que cesó en la prestación de servicios a su clienta.",c,COMUN
"9 – Isabel, Abogada en ejercicio, debido a continuos desencuentros con uno de sus clientes, decide llamarle por teléfono y comunicarle que renuncia a su dirección letrada. El cliente se opone a dicha renuncia recordándole que está pendiente la celebración del Juicio Oral dentro de cuatro meses. ¿Es correcta y procedente la renuncia de Isabel?","Sí, pues la renuncia es posible, de forma oral o escrita, en cualquier fase del procedimiento.","No, pues, al haber manifestado el cliente su oposición y hallarse pendiente la celebración del Juicio Oral, la renuncia no surte efectos hasta que este se haya celebrado.","Sí, al haber comunicado su renuncia con la antelación de un mes a la celebración del juicio tal y como exige el Estatuto General de la Abogacía.","No, pues para que dicha renuncia surta efectos ha de hacerse por escrito.",d,COMUN
"10 – ¿Cuál de las siguientes sanciones disciplinarias no pueden imponerse a los profesionales de la Abogacía que sean tutores de prácticas externas de los másteres de acceso a la profesión?","Multa.","Apercibimiento verbal.","Expulsión del Colegio.","Apercibimiento por escrito.",c,COMUN
"11 – Son infracciones muy graves de los profesionales de la Abogacía:","La condena en sentencia firme por delitos dolosos o imprudentes, en cualquier grado de participación, como consecuencia del ejercicio de la profesión.","La condena penal firme por la comisión de delitos leves dolosos como consecuencia del ejercicio de la profesión.","La condena en sentencia firme a penas menos graves conforme al artículo 33.2 del Código Penal.","El ejercicio de la profesión en vulneración de resoluciones administrativas firmes de inhabilitación o prohibición del ejercicio profesional.",d,COMUN
"12 – Roberto, Abogado en ejercicio, ha sido sancionado disciplinariamente por su Colegio de la Abogacía por la comisión de una infracción leve consistente en impugnar reiterada e injustificadamente los honorarios de otros profesionales de la Abogacía. ¿Cuándo prescribirá la sanción impuesta a Roberto?","A los seis meses desde el día siguiente en que pueda ser ejecutada.","Al año desde el día en que la infracción se hubiera cometido.","A los seis meses desde el día en que la infracción se hubiera cometido.","Al año desde el día siguiente en que pueda ser ejecutada.",a,COMUN
"13 – La anotación de las sanciones en el expediente particular de la sociedad profesional se cancelará cuando hayan transcurrido:","Un año en caso de sanción de multa pecuniaria de 300 hasta 1.501 €.","Un año en caso de sanción de multa pecuniaria de 300 hasta 1.500 €.","Seis meses en caso de sanción de multa pecuniaria de 300 hasta 1.500 €.","Seis meses en caso de sanción de multa pecuniaria de 300 hasta 1.501 €.",c,COMUN
"14 – Jon, Abogado no ejerciente, ha incumplido su obligación de pagar las cuotas correspondientes al Colegio de la Abogacía en el que se encuentra incorporado. ¿Conllevará dicho impago la imposición de algún tipo de sanción disciplinaria para Jon?","No, pues a los Abogados no ejercientes no se les aplica el régimen disciplinario previsto para los ejercientes.","Sí, en los casos en que se entienda que ha incurrido en una infracción menos grave.","No, pues dicho incumplimiento no se contempla como infracción especifica en el régimen disciplinario de los no ejercientes.","Sí, en los casos en que se entienda que ha incurrido en una infracción grave.",d,COMUN
"15 – De acuerdo con lo establecido en el Estatuto General de la Abogacía y con lo que disponga la legislación estatal y autonómica, cada Colegio de la Abogacía será regido por:","Únicamente por la Asamblea General, una Junta de Gobierno, una Sección Especializada y el Decano.","Únicamente por una Asamblea General, una Junta General, una Junta de Gobierno y el Decano.","Únicamente por la Junta o Asamblea General, la Junta de Gobierno y el Decano.","Únicamente por una Junta General, una Junta de Gobierno, una Secretaría Técnica y el Decano.",c,COMUN
"16 – Laia, quien acaba de incorporarse como Abogada ejerciente al Colegio de la Abogacía de su localidad, tiene la intención de emitir su voto en las elecciones a la Junta de Gobierno que tendrán lugar el mes siguiente a su colegiación. ¿Podrá Laia ser electora en dicho proceso electoral?","No, pues para ello es necesario estar incorporado al Colegio con más de tres meses de antelación a la fecha de la convocatoria de las elecciones.","Sí, pues para ello es suficiente con estar incorporado al Colegio con un mes de antelación al día de celebración de las elecciones.","No, pues para ello es necesario una antigüedad de un año para poder tomar parte en cualquier proceso electoral que el Colegio de la Abogacía celebre.","Sí, pues, a diferencia de los no ejercientes, los Abogados ejercientes no requieren de antigüedad alguna para poder tomar parte en cualquier proceso electoral que el Colegio de la Abogacía celebre.",a,COMUN
"17 – Eduardo, Abogado en ejercicio, disconforme con la gestión llevada a cabo por el Decano del Colegio de la Abogacía en el que se halla incorporado, el cual cuenta con más de cinco mil profesionales de la Abogacía, tres mil como ejercientes y dos mil como no ejercientes, ha comenzado a recoger firmas para la convocatoria de una Junta General Extraordinaria con la finalidad de emitir voto de censura contra el Decano. ¿Qué número de firmas deberá obtener Eduardo para solicitar la convocatoria de la Junta General Extraordinaria?","Un mínimo del 15 por 100 de los colegiados ejercientes o no ejercientes, incorporados al menos con tres meses de antelación.","Un mínimo del 20 por 100 de los colegiados ejercientes, incorporados al menos con tres meses de antelación.","Un mínimo del 15 por 100 de los colegiados ejercientes, incorporados al menos con tres meses de antelación.","Un mínimo del 20 por 100 de los colegiados ejercientes o no ejercientes, incorporados al menos con tres meses de antelación.",b,COMUN
"18 – En defecto de otra regulación específica, ¿qué causas son motivo de cese como miembro de la Junta de Gobierno de los Colegios de la Abogacía previstas en el artículo 80 del Estatuto General de la Abogacía?","Remoción.","Presentación de moción de censura.","Falta de asistencia injustificada a tres sesiones consecutivas de la Junta de Gobierno o a seis alternas en el término de un año, previo acuerdo de la propia Junta.","Renuncia.",d,COMUN
"19 – Elena, Abogada no ejerciente, condenada a la pena de multa de tres meses por la comisión de un delito leve de hurto, y miembro, a su vez, del Colegio de Mediadores, tiene la intención de presentarse como candidata a las próximas elecciones a la Junta de Gobierno del Colegio de la Abogacía en el que se encuentra incorporada. Elena se halla al corriente del pago de sus cuotas colegiales. ¿Puede Elena ser elegida miembro de la Junta de Gobierno?","Sí, pues se encuentra al corriente del pago de las cuotas colegiales.","No, pues es causa de inelegibilidad el ser miembro de otro Colegio Profesional.","Sí, pues la condena penal impuesta no lleva aparejada inhabilitación para el ejercicio de la profesión.","No, pues los no ejercientes no puede ser elegidos a la Junta de Gobierno.",d,COMUN
"20 – No constituyen recursos económicos de los Colegios de la Abogacía:","Las cuotas de incorporación.","Los derechos que correspondan por expedición de certificaciones.","Las subvenciones o donativos que se concedan al Colegio por las Administraciones públicas o por personas físicas o jurídicas de Derecho privado.","El importe de las multas coercitivas impuestas para la ejecución de lo mandado.",d,COMUN
"21 – Julián y Marta, ambos profesionales de la Abogacía en ejercicio, aunque no se han constituido en sociedad profesional, comparten los gastos corrientes del local que ambos utilizan para el ejercicio de su profesión. Cada uno emplea una denominación distinta, pero comparten clientes para determinados asuntos. ¿Puede presumirse que ambos ejercen colectivamente la profesión?","Sí, pues el hecho de compartir clientes, gastos y ubicación, constituyen presunciones de ejercicio colectivo de la profesión.","No, pues para ello es siempre necesario constituirse en sociedad profesional.","Sí, en todo caso.","No, en todo caso.",d,COMUN
