# 2018.1 comun (comprobado)
pregunta,a,b,c,d,correcta,materia
"El letrado Javier, tras la correspondiente negociación extrajudicial, consigue que su cliente Ana sea indemnizada en una cantidad de 12.000€, cantidad que Javier recibe en su cuenta bancaria para posteriormente transferírsela a Ana. Ana recibe una transferencia de 10.000€, y pregunta a Javier, qué ha ocurrido con los 2.000€ que faltan, Javier le contesta que ha detraído sus honorarios de la indemnización. ¿Puede Javier cobrar sus honorarios de esta manera?","Sí, debe cobrarlos de esta manera porque estando en su cuenta bancaria le capacita para ello.","No, no se puede quedar con fondos que corresponden al cliente, salvo que tenga autorización para hacerlo recogida en la hoja de encargo o escrito posterior del cliente.","No, nunca se pueden detraer honorarios de fondos ajenos.","Sí, los honorarios se pueden cobrar de lo obtenido en una negociación extrajudicial.","b","Comun"
"Julián, abogado en ejercicio, está negociando el abono de una deuda que le deben a su cliente. Como quiera que no es capaz de llegar a una transacción factible, le comunica a Carlos, abogado de la parte contraria, que va a iniciar un procedimiento monitorio. Junto con la demanda adjunta todas las comunicaciones vía email que ha mantenido con Carlos para demostrar que se ha intentado la negociación del pago de la deuda y que ésta existe. ¿Ha actuado correctamente Julián aportando esas comunicaciones?","Sí, porque está amparado por la libertad de defensa.","No, porque nunca se deben aportar comunicaciones entre abogados en un procedimiento judicial.","No, porque únicamente se pueden aportar comunicaciones entre compañeros, con su autorización expresa o por autorización expresa de la Junta de Gobierno del Colegio de Abogados.","Sí, porque deben primar los intereses del cliente y su defensa por encima de todo.","c","Comun"
"A Marta, abogada en ejercicio, le afecta una causa de incompatibilidad establecida en el Estatuto General de la Abogacía, ¿qué actuación debe Marta llevar a cabo?","Marta debe manifestarlo por escrito al tribunal donde lleve el procedimiento para que pueda seguir llevándolo.","Marta debe acordar con su representado la continuación del proceso o abandonar la defensa.","Marta debe comunicarlo sin excusa a la Junta de Gobierno del Colegio y cesar en la situación de incompatibilidad.","Marta no debe hacer nada.","c","Comun"
"Avisado el Colegio de Abogados de Zamora del registro en el despacho profesional del abogado Luis, el Colegio se plantea qué actuaciones debe llevar a cabo.","Deberá ser avisado el juez Decano de la provincia donde radique el despacho, a fin de que asista y se persone en las diligencias velando por la salvaguarda del secreto profesional.","Deberá ser avisado el Decano del Colegio de Abogados de su residencia, a fin de que asista y se persone en las diligencias velando por la salvaguarda del secreto profesional.","Deberá ser avisado el Fiscal que forme parte de la causa correspondiente, a fin de que asista y se persone en las diligencias velando por la salvaguarda del secreto profesional.","En ningún caso se podrá proceder al registro de un despacho de abogados.","b","Comun"
"Marcos asume los intereses de Juan en un procedimiento judicial, firmando la correspondiente hoja de encargo. Durante la tramitación del procedimiento Juan se empeña en indicar a su abogado qué es lo que tiene que hacer incluso la prueba que tiene que proponer en el procedimiento. Marcos se niega a continuar con el procedimiento. ¿Puede Marcos renunciar a la defensa?","Nunca puede un abogado renunciar a defender a su cliente si ha firmado una hoja de encargo.","No puede renunciar porque el procedimiento ya está iniciado.","Sí, siempre que lo comunique al cliente y al Juzgado donde se tramita el procedimiento para no producir indefensión.","Sí, pero debe comunicarlo al cliente.","c","Comun"
"Emilio, abogado en ejercicio, deja de pagar su cuota colegial durante un año. A pesar de los requerimientos que le efectúa el colegio no realiza el pago de la cantidad. ¿Puede el Colegio de Abogados darle de baja como colegiado?","Nunca, porque la falta de pago de cuotas no es causa de pérdida de la condición de colegiado.","No, porque se requiere una sentencia condenatoria en la que se reconozca la cantidad que se debe como paso previo a la pérdida de la condición de colegiado.","Sí, siempre que se acuerde por la Junta de Gobierno del Colegio de Abogados mediante resolución motivada.","Sí, previo acuerdo de la Junta General del Colegio de Abogados.","c","Comun"
"Filo, abogada en ejercicio, tramita un divorcio de mutuo acuerdo entre Ángela y Juan. Finalizado dicho procedimiento Juan le pide a Filo que presente una ejecución de sentencia de divorcio. ¿Filo puede aceptar el encargo?","No, ya que existe riesgo de violación del secreto profesional y conflicto de intereses.","No, salvo que haya pasado un año desde la firmeza de la sentencia.","Sí, siempre que Juan le hubiera pagado los honorarios de divorcio.","Sí, puede aceptar el encargo en todo caso.","a","Comun"
"José Luis tiene despacho en León, y además de estar dado de alta en el Colegio de Abogados de León, quiere colegiarse en el Colegio de Abogados de Madrid porque los cursos allí son muy interesantes. ¿Puede José Luis estar dado de alta en ambos colegios?","No, tiene que elegir entre uno de los dos colegios.","Sí, José Luis puede estar dado de alta en ambos pero uno de ellos debe ser el de la ciudad donde tenga el domicilio profesional único o principal.","Sí, tiene que colegiarse en ambos Colegios para poder ejercer la profesión.","No, porque los colegios pertenecen a Comunidades Autónomas diferentes.","b","Comun"
"Restituto, letrado en ejercicio del Ilustre Colegio de Abogados de Madrid, acude a un juicio que tenía señalado en Toledo, presentándose en el mismo en estado de ebriedad. Su cliente pone el hecho en conocimiento del Colegio de Abogados al que pertenece Restituto. ¿Cómo procederá la comisión de deontología del Colegio de Abogados de Madrid?","Abrirá directamente expediente disciplinario al letrado.","Abrirá una Información Previa y dará traslado al letrado denunciado para que presente alegaciones.","Remitirá la queja presentada por el cliente a la Guardia Civil de Toledo, por si la misma considera oportuno abrir diligencias penales.","Remitirá la queja al Colegio de Abogados de Toledo por ser el competente.","d","Comun"
"Julia, abogada en ejercicio, firma una Hoja de Encargo con su cliente en el que especifica que sus honorarios supondrán el 10% de lo que se obtenga en el procedimiento. ¿Es correcta esta forma de fijar los honorarios?","Sí, existe libertad de pacto y pueden decidir, cliente y abogado, libremente.","No, es preciso fijar una cuantía determinada.","No, porque el pacto de cuota Litis está prohibido.","Sí, siempre y cuando se indique expresamente el IVA aplicable.","a","Comun"
