pregunta,a,b,c,d,correcta,bloque
"Una empresa tiene prestando servicios laborales a un trabajador sin haberle dado de alta en la Seguridad Social. La empresa tiene concertadas la incapacidad temporal con una Mutua. El trabajador sufre un accidente de trabajo y permanece seis meses en situación de incapacidad temporal. ¿Quién abonará el subsidio?","La Mutua no anticipará el subsidio porque el trabajador estaba sin asegurar.","La Mutua únicamente anticipará el subsidio si el trabajador denuncia previamente su situación ante la Inspección de Trabajo.","La Mutua deberá anticipar en todo caso el subsidio de incapacidad temporal.","La Mutua solo abonará el subsidio cuando el Juzgado de lo Social haya declarado la insolvencia de la empresa.","c","Derecho Laboral"
"Rafael necesita un nuevo transportista. Su amigo Andrés, con una furgoneta, le ha ofrecido sus servicios acordando verbalmente que comenzará el próximo día 1 de mes, durante un año, realizando portes tres días a la semana. ¿Qué modalidad de contrato han celebrado?","Contrato a tiempo parcial.","Contrato de relevo.","El contrato se presumirá celebrado a tiempo completo, salvo prueba en contrario que acredite el carácter parcial de los servicios.","Contrato formativo y de aprendizaje.","c","Derecho Laboral"
"Juan cuenta con 17 años y autorización de sus padres para trabajar. Le pide a su tío que le contrate como camarero los fines de semana, en horario de 21:00h a 24:00h. El abogado le advierte que no es posible suscribir el contrato en esos términos. ¿Qué impide firmarlo?","La actividad laboral: los menores de edad no pueden trabajar en la hostelería.","La duración del contrato no puede ser inferior a 4 horas diarias.","El horario de trabajo: los menores de edad no pueden realizar trabajos nocturnos. Se considera trabajo nocturno el realizado entre las diez de la noche y las seis de la mañana.","No existe ningún impedimento para su firma, siempre que el contrato sea firmado por el menor en unión de su representante legal.","c","Derecho Laboral"
"Andrés ha reducido su jornada laboral para cuidar a su hija con discapacidad. Dos años después la empresa cierra y extingue los contratos. ¿A qué indemnización tendrá derecho?","A la que corresponda a su jornada efectivamente realizada.","A la que le hubiera correspondido sin considerar la reducción de jornada efectuada.","A ninguna por haber reducido su jornada.","No se le puede despedir durante el ejercicio de su derecho a la reducción de jornada.","b","Derecho Laboral"
"África, letrada de una central sindical, asesora sobre si la negociación colectiva puede regular el modo en que se documentará el registro diario de jornada. ¿Qué indicará a sus representados?","No existe obligación de registrar diariamente la jornada salvo actividades específicas vinculadas al trabajo en el mar.","La negociación colectiva puede entrar en cómo se organizará y documentará el registro de jornada.","La negociación colectiva no puede entrar en esta materia.","La ley regula por completo esta materia.","b","Derecho Laboral"
"A la empresa le han notificado sentencia declarando el despido disciplinario de una trabajadora como improcedente y tiene 5 días para optar por readmitirla o indemnizarla. La empresa no opta en el plazo previsto. ¿Cuál es la consecuencia?","Si la empresa no opta, se entiende que procede la indemnización.","Si la empresa no opta, se entiende que procede la que decida el trabajador requerido para ello.","Si la empresa no opta, se entiende que procede la readmisión.","Si la empresa no opta, se entiende que procede la que considere el Magistrado en atención a las circunstancias.","c","Derecho Laboral"
"El contrato de trabajo celebrado por Juan con la empresa constructora ha sido declarado nulo parcialmente por el Juzgado de lo Social. ¿Qué fuentes de la relación laboral regirán para la parte declarada nula?","Las disposiciones legales y reglamentarias del Estado, los convenios colectivos y la voluntad de las partes.","Los usos o costumbres locales y profesionales primarán en defecto de norma con rango de ley.","Los convenios colectivos rigen en todo caso para lo no pactado en un contrato de trabajo.","Únicamente las disposiciones legales y reglamentarias de la Comunidad Autónoma donde se celebró el contrato.","a","Derecho Laboral"
"Juan ha recibido comunicación de despido disciplinario por incumplimiento del contrato de trabajo debido a su falta de puntualidad durante varios días. ¿Es causa suficiente para su despido?","Sí, pues aunque estuviera justificada requiere previo aviso al patrono.","No, el despido deberá basarse en un incumplimiento grave y culpable del trabajador.","Sí, la falta de puntualidad reiterada se considera falta grave en el ET.","No, la falta de puntualidad repetida e injustificada no constituye causa de incumplimiento contractual.","b","Derecho Laboral"
"La empresa X ha decidido el despido colectivo por causas objetivas de más de cincuenta trabajadores de entre 35 y 45 años sin estar incursa en procedimiento concursal. ¿Qué deberá ofrecer a los trabajadores afectados?","Deberá realizar una aportación económica al Tesoro Público.","Deberá ofrecer un curso de hasta seis meses con formación y orientación profesional y búsqueda activa de empleo.","Deberá ofrecer un plan de recolocación externa a través de empresas de recolocación autorizadas.","Un despido colectivo de más de cincuenta trabajadores será nulo.","c","Derecho Laboral"
"Fernando tiene dos hijos de 6 y 9 años y solicita reducción de jornada diaria para cuidarlos. ¿Qué parámetros legales determinarán la jornada laboral?","La reducción, con disminución proporcional del salario, será entre al menos un octavo y un máximo de la mitad de la duración de aquella.","La reducción, sin disminución proporcional del salario, será entre al menos un octavo y un máximo de la mitad de la duración de aquella.","La reducción, con disminución proporcional del salario, será entre al menos un noveno y un máximo de la sexta parte.","La reducción, sin disminución proporcional del salario, no puede superar una séptima parte.","a","Derecho Laboral"
