# 2025.2 laboral
pregunta,a,b,c,d,correcta,materia
"En el supuesto de una trabajadora embarazada ¿cuándo se suspendería el contrato de trabajo como consecuencia del embarazo?","Puede seguir trabajando hasta el mismo día del nacimiento si su estado se lo permite y no hay riesgos en su puesto de trabajo.","Solo está permitido trabajar hasta el séptimo mes de embarazo.","Debe dejar de trabajar en el momento que conoce de su embarazo.","Solo está permitido trabajar hasta las cuatro últimas semanas antes del parto.","a","Laboral"
"¿Cuál de las siguientes afirmaciones es correcta en relación con la excedencia voluntaria por cuidado de familiares hasta el segundo grado de consanguinidad o afinidad que, por razón de edad, enfermedad, accidente o discapacidad, no puedan valerse por sí mismos, y no desempeñen una actividad retribuida?","Se considerarán efectivamente cotizados los periodos de hasta tres años de excedencia solo a los efectos de las prestaciones de incapacidad permanente, jubilación, muerte y supervivencia, maternidad y paternidad.","Se considerarán efectivamente cotizados los periodos de hasta tres años de excedencia solo a los efectos de las prestaciones de incapacidad permanente, jubilación, incapacidad temporal, muerte y supervivencia, maternidad y paternidad.","Se considerará efectivamente cotizado el periodo de duración no superior a los dos años de esta excedencia solo a los efectos de las prestaciones de incapacidad permanente, jubilación, muerte y supervivencia, maternidad y paternidad.","Se considerarán efectivamente cotizados los periodos de hasta tres años de excedencia solo a los efectos de las prestaciones de incapacidad permanente y jubilación.","a","Laboral"
"La incapacidad temporal tiene una duración de:","Tiene una duración máxima de 365 días.","Puede tener duración indefinida hasta la curación de la patología que la causó.","Tiene una duración máxima de 365 días y una prórroga por otros 180 días cuando se prevea que durante ese tiempo se va a dar el alta médica por curación o mejoría, máximo 545 días.","Tiene una duración máxima de 24 meses.","c","Laboral"
"Carlos sufre un accidente de trabajo al caer desde dos metros de altura de un andamio en una obra de construcción. ¿Cuándo se declara la concurrencia de responsabilidad civil de la empresa para la que trabaja?","Se considera siempre la existencia de responsabilidad civil.","Cuando la empresa haya incumplido sus obligaciones en materia de seguridad y salud laboral.","Se considera siempre la existencia de responsabilidad civil, salvo que haya concurrido negligencia profesional del trabajador.","Se considera que existe responsabilidad civil únicamente cuando a la empresa se le ha impuesto el recargo de prestaciones por falta de medidas de seguridad en el trabajo.","b","Laboral"
"El contrato formativo, ¿qué duración puede tener?","Entre seis meses y doce meses.","Entre tres meses y dieciocho meses.","Entre seis meses y veinticuatro meses.","Entre un mes y seis meses.","a","Laboral"
"¿Cómo pueden ser resueltos los conflictos colectivos?","Deben ser resueltos siempre mediante procedimiento judicial.","Pueden ser resueltos mediante procedimiento extrajudicial ante la autoridad laboral.","Deben ser resueltos por el sindicato mayoritario de la empresa.","Deben ser resueltos por el empresario y los representantes de los trabajadores de mutuo acuerdo.","b","Laboral"
"En las empresas que ocupan a más de 250 trabajadores, los trabajadores afiliados a los sindicatos con presencia en los comités de empresa o en los órganos de representación que se establezcan en las Administraciones Públicas pueden constituir Secciones Sindicales, ¿qué número de delegados sindicales puede tener una empresa que tiene una plantilla de 751 trabajadores?","Cuatro.","Uno.","Dos.","Tres.","c","Laboral"
"Una empresa decide despedir por causas objetivas económicas a Unai. La comunicación de la decisión adoptada por la empresa, ¿qué requisitos formales debe cumplir?","Realizar un preaviso de 15 días y poner a disposición la indemnización de 20 días por año trabajado en el momento de la notificación, salvo la imposibilidad de pago que se hará constar en la comunicación escrita, sin perjuicio del derecho del trabajador de exigir de aquel su abono cuando tenga efectividad la decisión extintiva, y la entrega de copia del preaviso a la representación legal de los trabajadores para su conocimiento.","Realizar una comunicación ante la autoridad laboral y poner a disposición una indemnización de 20 días por año trabajado en el momento de la notificación y la entrega de copia de la comunicación a la representación legal de los trabajadores para su conocimiento.","Realizar un preaviso de 30 días y poner a disposición una indemnización de 33 días por año trabajado en el momento de la notificación y la entrega de copia del preaviso a la representación legal de los trabajadores para su conocimiento.","Dar audiencia previa al trabajador para efectuar alegaciones de los hechos relacionados en la comunicación de despido y poner a disposición una indemnización de 20 días por año trabajado en el momento de la notificación salvo la imposibilidad de pago que se hará constar en la comunicación escrita.","a","Laboral"
"Una empresa cuenta con 101 trabajadores en plantilla y por causas económicas decide reducir la plantilla despidiendo al diez por ciento, ¿qué procedimiento debe seguir?","La comunicación del despido de forma individual.","Tramitar un despido colectivo precedido de un periodo de consultas con los representantes legales de los trabajadores.","Tramitar un expediente de regulación de empleo solicitando la autorización administrativa de la autoridad laboral.","Tramitar un despido colectivo precedido de una comunicación a la comisión paritaria del convenio colectivo de aplicación.","b","Laboral"
"A Julia se le ha comunicado su traslado a otro centro de trabajo, ¿con qué plazo debe la empresa efectuar el preaviso?","Con una antelación mínima de quince días a la fecha de su efectividad.","Con una antelación mínima de diez días a la fecha de su efectividad.","Con una antelación mínima de veinte días a la fecha de su efectividad.","Con una antelación mínima de treinta días a la fecha de su efectividad.","d","Laboral"
"En materia de impugnación de convenios colectivos, ¿se puede presentar directamente la demanda o es preceptiva la previa interposición de reclamación administrativa?","Debe presentarse papeleta de conciliación.","Debe presentarse reclamación previa.","Se exceptúa el requisito del intento de conciliación.","Debe presentarse papeleta de conciliación o reclamación previa de forma indistinta.","c","Laboral"
"A Javier su empresa le ha notificado la modificación de la distribución de su tiempo de trabajo de jornada partida a una intensiva a turnos. No está de acuerdo y quiere impugnar la decisión empresarial, ¿de qué plazo dispone?","Dispone del plazo de caducidad de 20 días hábiles siguientes.","Dispone del plazo de prescripción de un año.","Dispone del plazo de caducidad de los 30 días hábiles siguientes.","Dispone del plazo de prescripción de 10 días hábiles siguientes.","a","Laboral"
