pregunta,a,b,c,d,correcta,materia
"Conforme al Estatuto General de la Abogacía Española, ¿a qué entidad corresponde ejercitar las acciones que garanticen el cumplimiento de las normas reguladoras del ejercicio de la profesión por los profesionales de la Abogacía?","El ejercicio de tales acciones corresponde, en exclusiva, al Consejo General de la Abogacía.","A los Colegios de la Abogacía, los Consejos Autonómicos y el Consejo General de la Abogacía Española.","El ejercicio de tales acciones corresponde, en exclusiva, a los Consejos Autonómicos.","El ejercicio de tales acciones corresponde, en exclusiva, a los Colegios de la Abogacía.",b,Deontología y EGAE
"Carla, profesional de la Abogacía, colegiada como ejerciente, ha sido nombrada para desempeñar cargo al servicio de la Administración estatal, incompatible con el ejercicio de la Abogacía. Transcurrido un mes desde su nombramiento, no ha formalizado su baja como ejerciente. ¿Qué consecuencias pueden derivarse de la actuación de Carla?","La Junta de Gobierno del Colegio en el que Carla está colegiada podrá suspenderle cautelarmente en el ejercicio de la profesión, pasando a la condición de no ejerciente y acordando al tiempo incoar el correspondiente expediente disciplinario.","Atendiendo al tiempo transcurrido, no tendrá efecto alguno, pues Carla dispone de un año para formalizar su baja como ejerciente mediante comunicación dirigida a la Junta de Gobierno de su Colegio.","La Junta de Gobierno del Colegio en el que Carla está colegiada no podrá suspenderle cautelarmente en el ejercicio de la profesión, si bien podrá acordar la incoación del correspondiente expediente disciplinario.","La Junta de Gobierno del Colegio en el que Carla está colegiada podrá suspenderle cautelarmente en el ejercicio de la profesión, pasando a la condición de no ejerciente, si bien ello excluiría la posibilidad de acordar la incoación del correspondiente expediente disciplinario.",a,Deontología y EGAE
"¿A qué órgano corresponde resolver sobre las competencias para tramitar las solicitudes de asistencia jurídica gratuita, en caso de conflicto entre Colegios pertenecientes a distintas Comunidades Autónomas?","Al Consejo General de la Abogacía Española.","Al Consejo Autonómico.","Al Ministerio de la Presidencia, Justicia y Relaciones con las Cortes.","A la Comisión de Asistencia Jurídica Gratuita.",a,Costas y Justicia Gratuita
"Carmen, profesional de la Abogacía, pasa a compartir el local de su despacho con Paula, otra compañera titular de despacho, manteniendo la independencia de cada despacho y su identificación individual frente a los clientes. ¿Qué efecto produce tal circunstancia en la forma de ejercicio profesional de Carmen?","Carmen no pierde por tal circunstancia la condición de profesional de la Abogacía titular de un despacho individual.","El hecho de compartir local implica que Carmen y Paula pasen a ejercer la abogacía por cuenta propia en régimen de colaboración profesional.","El hecho de compartir local implica que Carmen y Paula pasen a ejercer la abogacía colectivamente.","El hecho de compartir local implica que Carmen y Paula pasen a ejercer la abogacía en régimen de colaboración multiprofesional.",a,Deontología y EGAE
"Carlos, profesional de la Abogacía, ha recibido de un cliente el encargo de la dirección profesional de un asunto encomendado a otro compañero al que procede a sustituir. Carlos no comunica al compañero que ha recibido tal encargo. ¿Puede derivarse para Carlos alguna responsabilidad por esta conducta?","No, la responsabilidad de la comunicación corresponde exclusivamente al cliente.","No, aunque Carlos debe, por cumplimiento de las normas deontológicas, comunicarlo a su compañero, el incumplimiento de este deber de comunicación no puede constituir infracción alguna.","Sí, tal incumplimiento constituye una infracción leve.","Sí, tal incumplimiento constituye una infracción grave.",d,Régimen Disciplinario
"Raúl, profesional de la Abogacía, ha sido sancionado por la comisión de infracción con sanción de multa pecuniaria por importe de 5.000 euros. ¿Cuándo podrá ser cancelada, a instancia de Raúl, la anotación de la sanción en su expediente personal como colegiado?","Transcurridos seis meses, a contar desde el día siguiente al cumplimiento de la sanción, sin que hubiere incurrido en nueva responsabilidad disciplinaria.","Transcurridos seis meses, a contar desde el día siguiente de la imposición de la sanción, sin que hubiere incurrido en nueva responsabilidad disciplinaria.","Transcurrido un año, a contar desde el día siguiente al cumplimiento de la sanción, sin que hubiere incurrido en nueva responsabilidad disciplinaria.","Las anotaciones de sanciones no son cancelables a instancia de los interesados, sino únicamente de oficio.",c,Régimen Disciplinario
"Al convenir libremente con el cliente la cuantía de los honorarios, ¿qué debe, en todo caso, respetar el profesional de la Abogacía?","La voluntad del cliente, a la que debe en todo caso atenerse sin imponer la suya propia.","Únicamente las normas deontológicas.","Las normas deontológicas y sobre defensa de la competencia y competencia desleal.","No existe límite a la libre conveniencia de la cuantía de honorarios entre el cliente y el profesional de la Abogacía.",c,Deontología y EGAE
"¿Cuál de las siguientes funciones corresponde a los Colegios de Abogados en su ámbito territorial?","Impulsar la adecuada utilización por parte de los colegiados de las tecnologías de la información y las comunicaciones en el ejercicio profesional y en sus relaciones corporativas.","Homologar las escuelas de práctica jurídica creadas por otros Colegios de Abogados.","Convocar el Congreso de la Abogacía Española.","Ejercer la potestad disciplinaria con respecto a los miembros del Consejo General de la Abogacía.",a,Deontología y EGAE
"¿En qué supuesto se presume que existe ejercicio colectivo de la Abogacía?","Cuando el profesional de la Abogacía concierte acuerdos de colaboración para un determinado asunto con otro profesional de la Abogacía.","Cuando se pacte por escrito el ejercicio de la Abogacía en régimen de colaboración profesional.","Cuando el ejercicio de la actividad se desarrolle públicamente bajo una denominación común.","El ejercicio colectivo de la Abogacía no se presume nunca.",c,Deontología y EGAE
"Notificada una sentencia, el profesional de la Abogacía que intervino como asistencia letrada advierte, en el día siguiente a su publicación, que en el fallo existe un término de incierta comprensión. ¿Puede solicitar que la sentencia sea aclarada?","No, pues la aclaración solo puede hacerse de oficio, lo contrario supondría variar la resolución a instancia de parte.","Sí, puede solicitar aclaración del concepto oscuro advertido.","No, pues la aclaración únicamente puede solicitarse en el mismo día en que la sentencia se notifique, nunca después.","Sí, pero únicamente puede hacer valer el defecto por vía de recurso.",b,Proceso Civil
