# 2022.1 laboral 
pregunta,a,b,c,d,correcta,bloque
"Lucía tiene catorce años y vive con sus padres. La dueña de una cafetería le ofrece trabajar sirviendo mesas con un contrato de 20 horas semanales. ¿Puede Lucía suscribir contrato de trabajo?","Lucía puede firmar el contrato de trabajo por sí misma.","Lucía puede firmar el contrato de trabajo con el consentimiento de sus padres.","Lucía no puede firmar el contrato de trabajo al ser menor de dieciséis años.","No hay problema en que Lucía contrate al ser un contrato a tiempo parcial.","c","Derecho Laboral"
"La celebración de un contrato de trabajo para la realización de una obra o servicio ¿exige algún requisito de forma?","No. Se podrá celebrar por escrito o de palabra.","Sí. Los contratos de trabajo para obra o servicio determinado deben constar por escrito, en todo caso.","Solo debería constar por escrito si se celebra para prestar servicios a tiempo completo.","Solo debería constar por escrito si su duración se prevé superior a siete días.","b","Derecho Laboral"
"Andrés presta servicios en virtud de contrato de formación en alternancia en una fábrica. Si las necesidades de la empresa lo justifican ¿puede esta imponerle trabajos nocturnos o trabajo a turnos?","Los contratados en formación en alternancia se someten al mismo régimen que el resto de los trabajadores.","Las personas contratadas con contrato de formación en alternancia no podrán realizar trabajos nocturnos ni trabajo a turnos, salvo que por la naturaleza de la actividad el plan formativo no pueda desarrollarse en otros periodos.","Si las necesidades lo requieren se le puede exigir trabajar en turno de noche pero no a turnos.","Si el empleado presta su consentimiento nada impide que trabaje a turnos o en horario nocturno.","b","Derecho Laboral"
"Empresa y trabajador deciden que una parte del salario mensual se abonará en especie. ¿Cuál es el máximo que se puede percibir como salario en especie?","No existe un máximo fijado en la legislación laboral.","El salario en especie podrá ser como máximo el que fije el convenio colectivo del sector.","El salario en especie será como máximo del diez por ciento de las percepciones salariales del trabajador.","El salario en especie en ningún caso podrá superar el treinta por ciento de las percepciones salariales del trabajador.","d","Derecho Laboral"
"¿Cuál es la duración del descanso mínimo entre jornadas?","Entre el final de una jornada y el comienzo de la siguiente deben mediar, como mínimo, doce horas.","Entre el final de una jornada y el comienzo de la siguiente deben mediar, como mínimo, nueve horas.","El descanso mínimo entre jornadas será como mínimo de doce horas, salvo que las partes pacten expresamente otro de duración inferior.","El descanso mínimo entre jornadas será de un día y medio.","a","Derecho Laboral"
"Jaume trabaja como conserje para el Ayuntamiento de Salt en virtud de contrato de trabajo indefinido. Decide pedir una reducción de jornada de un veinte por ciento, que le es denegada. ¿Cuál sería el orden jurisdiccional competente?","La competencia corresponderá al orden jurisdiccional social al tratarse de personal laboral al servicio de una Administración pública.","La competencia corresponderá al orden jurisdiccional contencioso-administrativo ya que el empleador es una Administración pública.","La competencia corresponderá al orden jurisdiccional civil.","La competencia corresponderá a la Sala de lo Social del Tribunal Supremo.","a","Derecho Laboral"
"¿En cuál de los siguientes supuestos la legislación laboral admite la suspensión del contrato de trabajo con recíproca exoneración de las obligaciones de trabajar y remunerar?","Durante las vacaciones.","Durante la incapacidad temporal del trabajador.","Durante el descanso entre jornadas.","Durante el descanso de fin de semana.","b","Derecho Laboral"
"La empresa XXX decide sancionar a un empleado por la comisión de una falta de desobediencia tipificada como falta grave. ¿Cuándo prescribe esta falta?","A los veinte días a partir de la fecha de la comunicación escrita al trabajador y, en todo caso, a los seis meses de haberse cometido.","A los sesenta días a partir de la fecha de la comunicación escrita al trabajador y, en todo caso, a los seis meses de haberse cometido.","A los veinte días a partir de la fecha en que la empresa tuvo conocimiento de su comisión y, en todo caso, a los seis meses de haberse cometido.","A los sesenta días a partir de la fecha en que la empresa tuvo conocimiento de su comisión y, en todo caso, a los seis meses de haberse cometido.","c","Derecho Laboral"
"El comité de empresa tiene derecho a recibir la copia básica de los contratos así como la notificación de las prórrogas y denuncias correspondientes. ¿Con qué frecuencia?","Con una periodicidad mensual.","Con una periodicidad trimestral.","Con una periodicidad quincenal.","En el plazo de diez días siguientes a que tuvieran lugar.","d","Derecho Laboral"
"En la negociación de convenios colectivos ¿existirá el deber de negociar medidas dirigidas a promover la igualdad de trato y de oportunidades entre mujeres y hombres?","En todo caso.","Solo en las empresas que cuenten con más de doscientos cincuenta trabajadores.","Solo si las partes negociadoras así lo deciden.","Solo en las empresas que cuenten con más de cincuenta trabajadores.","a","Derecho Laboral"
"¿Cuál es la duración de los convenios colectivos?","Los convenios colectivos tendrán una duración máxima de un año.","Los convenios colectivos tendrán una duración máxima de cinco años.","Los convenios colectivos tendrán una duración indeterminada hasta que medie denuncia expresa de una de las partes.","Corresponde a las partes negociadoras establecer la duración de los convenios, pudiendo pactarse distintos periodos de vigencia para cada materia o grupo homogéneo de materias dentro del mismo convenio.","d","Derecho Laboral"
"Gema ha prestado servicios para una empresa con domicilio en Barcelona en las provincias de Huelva y Málaga. Tras ser despedida, ¿qué Juzgado o Tribunal es competente territorialmente?","La demanda tiene que presentarse necesariamente ante el Juzgado de lo Social donde la empresa tiene su domicilio.","La demanda podrá presentarse ante el Juzgado de lo Social de alguna de las circunscripciones en las que prestó servicios, pudiendo elegir entre el de su domicilio, el del contrato si allí pudiera citarse al demandado, o el del domicilio del demandado.","La demanda deberá presentarse ante la Sala de lo Social de la Audiencia Nacional ya que afecta al territorio de varias Comunidades Autónomas.","Tiene que presentarse ante la Sala de lo Social del TSJ de Andalucía al prestar servicios en dos provincias de esta Comunidad.","b","Derecho Laboral"
"Aitor ha recibido comunicación por escrito de un cambio en su jornada y horario laboral por razones económicas y productivas. No está conforme. ¿Tiene derecho a extinguir su contrato?","Sí. Aitor puede solicitar la extinción de su contrato, pero no tendrá derecho a indemnización alguna.","No. Aitor debe aceptar en todo caso la modificación dado que está amparada en razones económicas y organizativas.","Sí. Si Aitor resultase perjudicado por dicha modificación, puede optar entre rescindir el contrato percibiendo una indemnización de treinta y tres días de salario por año de servicio con un máximo de veinticuatro mensualidades, o impugnar la decisión ante la jurisdicción social.","Sí. Si Aitor resultase perjudicado por esta modificación, puede optar entre rescindir su contrato percibiendo una indemnización de veinte días de salario por año de servicio con un máximo de nueve mensualidades, o impugnar la decisión ante la jurisdicción social.","d","Derecho Laboral"
"Una empresa de trescientos ochenta trabajadores se plantea introducir cambios en el abono de las comisiones del Departamento Comercial, que cuenta con cuarenta y cinco empleados. ¿Cómo se calificaría esta decisión empresarial?","Se trata de una modificación de carácter colectivo ya que afecta al menos a treinta trabajadores en una empresa con más de trescientos.","Se trata de una modificación individual de las condiciones de trabajo ya que afecta a menos de cincuenta empleados en una empresa con más de trescientos trabajadores.","Se trata de cuarenta y cinco modificaciones individuales de contrato.","No podemos hablar de modificaciones de contrato al venir amparadas en causas económicas.","a","Derecho Laboral"
"A Cecilia la empresa ZZXX le ha notificado la fecha de disfrute de sus vacaciones y no está conforme. ¿Puede presentar una demanda directamente o es imprescindible el intento previo de conciliación?","Puede hacerlo directamente ya que el proceso de vacaciones no exige conciliación previa.","Debe presentar papeleta de conciliación ante el servicio administrativo correspondiente al ser requisito previo.","Debe presentar reclamación previa en vía administrativa.","Para la presentación de la demanda es necesario que previamente dirija escrito a la empresa manifestando su disconformidad.","a","Derecho Laboral"
"Guzmán y Eugenia, trabajadores de la misma empresa, presentan por separado sendas demandas reclamando un complemento de productividad. Recayeron en Juzgados distintos. ¿Pueden acumularse estas demandas?","Los procedimientos de reclamación de cantidad no pueden acumularse nunca.","Los procedimientos pueden acumularse de oficio o a instancia de parte y corresponderá conocer al Juzgado al que se repartió la primera demanda.","Los procedimientos pueden acumularse y conocerá el Juzgado al que se turnó la segunda demanda.","Los procedimientos pueden acumularse pero exclusivamente si lo piden ambas partes de común acuerdo.","b","Derecho Laboral"
"Ana ha permanecido en incapacidad temporal durante ciento setenta y ocho días por accidente de trabajo, con Acta de infracción de la Inspección de Trabajo. ¿Tendría derecho a algún incremento sobre la prestación económica percibida?","No. Solo se incrementan las prestaciones por incapacidad permanente, absoluta, total o parcial.","Sí, las prestaciones se aumentarán, pero solo si se aprecia un delito contra los derechos de los trabajadores.","Sí, las prestaciones económicas se aumentarán, según la gravedad de la falta, de un 30 a un 50 por ciento.","Sí, las prestaciones económicas se aumentarán, según la gravedad de la falta, de un 10 a un 30 por ciento.","c","Derecho Laboral"
"En relación con la intervención de Abogado y Graduado social en el proceso laboral ¿cuál de las siguientes afirmaciones es correcta?","Las partes deben estar asistidas de Abogado o de Graduado social desde la presentación de la demanda.","En la jurisdicción social es facultativa la intervención de estos profesionales.","Si el demandante pretende asistir con Abogado deberá indicarlo en la demanda. En estos casos, el demandado necesariamente deberá intervenir con Abogado o con Graduado social.","La intervención de estos profesionales tendrá carácter facultativo en la instancia. Sin embargo, en el recurso de suplicación los litigantes habrán de estar defendidos por profesional de la Abogacía o representados técnicamente por Graduado social colegiado. En el recurso de casación y en actuaciones ante el TS será preceptiva la defensa de Abogado.","d","Derecho Laboral"
"Tras la celebración de un juicio por reclamación de salarios por cuantía inferior a 3.000 € ¿puede el juez dictar sentencia oral?","No. En el proceso laboral no está previsto el dictado de sentencias orales.","Sí. Dado que por razón de la cuantía no procede recurso de suplicación el Juez podrá dictar sentencia de viva voz al terminar el juicio.","Sí. En el proceso laboral siempre que las partes estén presentes es posible el dictado oral de sentencia aunque sea susceptible de recurso de suplicación.","Sí. Aunque solamente si ambas partes han comparecido.","b","Derecho Laboral"
